cntr_01,dist_x,pang_x,ra_01,dec_01,reqkey,tn,object,ra,dec,irac8,irac8u,iras12,iras12u,irs16,irs16u,irs22,irs22u,mips24,mips24u,iras25,iras25u,mips24_irac8,mips24_irs16,irs16_irac8,iras25_iras12,ra_sl,dec_sl,pa_sl,ra_ll,dec_ll,pa_ll,date_obs,campname,bandpass,oflag,ratio_sl2_sl1,ratio_sl1_ll2,ratio_ll2_ll1,ra_rqst,dec_rqst,ra_del,dec_del,width_sl2,width_sl1,width_ll2,width_ll1,xtable,enhid,campid,obsrvr,progid,wave_min,wave_max
457,1.219354,-24.626795,1.7631641800E+02,7.9681502100E+01,26483712,1,UGC 06728,176.31563,79.68181,2.115E-02,1.017E-03,3.307E-02,1.064E-03,6.873E-02,2.034E-03,8.295E-02,2.882E-03,7.914E-02,2.600E-03,8.217E-02,2.750E-03,3.7418,1.1515,3.2496,2.4847,176.31563,79.68181,50.73126,176.31828,79.68174,-33.00868,2008-05-28 11:29:00,IRSX010400,IRS Merged 5.217-37.86um,15,1.065,0.593,1.025,176.31676,79.68150,-0.00020,0.00031,2.59,2.85,5.96,8.57,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010400/r26483712/enhanced/SPITZER_S5_26483712_01_merge.tbl"">Table spectrum</a><br />",15231,1467,"Weaver, Kimberly",50588,5.21725,37.86356
458,0.283627,154.313908,1.7641860400E+02,-1.8454139000E+01,26484736,1,LEDA 088639,176.41864,-18.45421,3.876E-02,1.037E-03,6.129E-02,1.376E-03,9.663E-02,2.476E-03,1.181E-01,3.414E-03,1.145E-01,3.277E-03,1.178E-01,3.402E-03,2.9541,1.1849,2.4930,1.9220,176.41864,-18.45421,11.80492,176.41846,-18.45439,-71.93507,2008-07-02 07:26:00,IRSX011400,IRS Merged 5.217-37.86um,15,0.921,0.862,1.001,176.41862,-18.45431,0.00002,0.00009,2.39,2.76,7.22,8.21,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX011400/r26484736/enhanced/SPITZER_S5_26484736_01_merge.tbl"">Table spectrum</a><br />",15234,1466,"Weaver, Kimberly",50588,5.21725,37.86356
459,null,null,1.7638804000E+02,5.8978154500E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
460,null,null,1.7647344100E+02,-6.9900486000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
461,null,null,1.7697947700E+02,9.0413454000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
462,null,null,1.7719138900E+02,2.9641211700E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
463,null,null,1.7732782400E+02,-4.2807703000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
464,null,null,1.7733965600E+02,5.3337032200E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
465,0.217408,-6.524891,1.7801478700E+02,-1.1373370000E+01,14194176,1,pg1149-110,178.01479,-11.37331,2.218E-02,4.896E-04,4.088E-02,8.540E-04,7.583E-02,1.431E-03,1.116E-01,2.180E-03,1.104E-01,2.346E-03,1.133E-01,2.289E-03,4.9775,1.4559,3.4188,2.7715,178.01479,-11.37331,18.72120,178.01482,-11.37332,-65.01881,2005-06-30 14:15:31,IRSX005200,IRS Merged 5.217-37.86um,15,0.905,0.909,0.966,178.01476,-11.37342,0.00002,0.00011,2.59,2.88,6.55,8.68,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX005200/r14194176/enhanced/SPITZER_S5_14194176_01_merge.tbl"">Table spectrum</a><br />",6334,792,"Ogle, Patrick",20142,5.21725,37.86356
466,null,null,1.7815904400E+02,-5.2070095000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
467,0.156220,-134.102427,1.7835196800E+02,4.9519140200E+01,22200576,1,4C49.22,178.35191,49.51911,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,178.35191,49.51911,-166.44341,null,null,null,2008-01-18 11:30:44,IRSX010100,IRS Merged 7.576-14.22um,2,null,null,null,178.35196,49.51911,-0.00002,0.00000,null,2.76,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010100/r22200576/enhanced/SPITZER_S5_22200576_01_merge.tbl"">Table spectrum</a><br />",12153,1406,"Stockton, Alan",40001,7.57612,14.22932
468,0.595686,108.937184,1.7948389400E+02,5.5453613700E+01,10512896,1,NGC3998,179.48418,55.45356,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,179.48418,55.45356,-156.95621,null,null,null,2004-12-12 13:28:20,IRSX004100,IRS Merged 7.576-14.22um,2,null,null,null,179.48379,55.45353,0.00022,0.00003,null,2.96,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX004100/r10512896/enhanced/SPITZER_S5_10512896_01_merge.tbl"">Table spectrum</a><br />",2743,759,"Sturm, Eckhard",3237,7.57612,14.22932
469,null,null,1.7971924700E+02,4.2570325500E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
470,null,null,1.7992089400E+02,-1.9990164000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
471,0.636932,-81.025322,1.8024143600E+02,6.8064024000E+00,26484480,1,CGCG 041-020,180.24126,6.80643,3.445E-02,9.632E-04,4.255E-02,1.161E-03,7.548E-02,2.504E-03,1.020E-01,3.860E-03,1.043E-01,3.713E-03,1.081E-01,3.833E-03,3.0276,1.3818,2.1910,2.5405,180.24126,6.80643,21.48200,180.24126,6.80633,-62.25801,2008-07-05 00:17:15,IRSX011400,IRS Merged 5.217-37.86um,15,0.627,0.884,0.872,180.24133,6.80642,-0.00008,0.00001,2.94,3.22,5.96,8.48,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX011400/r26484480/enhanced/SPITZER_S5_26484480_01_merge.tbl"">Table spectrum</a><br />",15233,1466,"Weaver, Kimberly",50588,5.21725,37.86356
472,null,null,1.8030980600E+02,-3.6781600000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
473,null,null,1.8069842750E+02,-5.3835500410E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
474,0.495273,27.797339,1.8079003000E+02,4.4531308300E+01,14449152,1,NGC 4051,180.79011,44.53143,2.531E-01,3.056E-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180.79011,44.53143,-149.08263,null,null,null,2005-12-10 19:55:51,IRSX006000,IRS Merged 5.217-14.22um,3,0.828,null,null,180.79004,44.53133,0.00006,0.00009,2.59,2.85,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX006000/r14449152/enhanced/SPITZER_S5_14449152_01_merge.tbl"">Table spectrum</a><br />",6435,816,"Lutz, Dieter",20241,5.21725,14.22932
475,0.451798,118.145673,1.8112362200E+02,2.0316309200E+01,26483456,1,ARK 347,181.12373,20.31625,4.650E-02,1.251E-03,7.772E-02,1.777E-03,1.358E-01,3.196E-03,1.936E-01,4.703E-03,1.936E-01,4.690E-03,1.989E-01,4.773E-03,4.1634,1.4256,2.9204,2.5592,181.12373,20.31625,25.90740,181.12354,20.31629,-57.83257,2008-07-01 16:19:14,IRSX011400,IRS Merged 5.217-37.86um,15,0.863,0.829,0.950,181.12367,20.31622,0.00007,0.00003,2.56,2.85,7.64,8.43,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX011400/r26483456/enhanced/SPITZER_S5_26483456_01_merge.tbl"">Table spectrum</a><br />",15230,1466,"Weaver, Kimberly",50588,5.21725,37.86356
476,0.121204,-85.912200,1.8117547800E+02,2.7903297600E+01,14194432,1,pg1202+281,181.17545,27.90330,1.757E-02,4.515E-04,3.114E-02,6.872E-04,4.852E-02,1.022E-03,7.455E-02,1.593E-03,7.525E-02,1.718E-03,7.531E-02,1.646E-03,4.2829,1.5509,2.7615,2.4184,181.17545,27.90330,24.71160,181.17549,27.90324,-59.02835,2006-06-22 12:01:55,IRSX006800,IRS Merged 5.217-37.86um,15,0.966,1.003,0.936,181.17541,27.90306,0.00002,0.00025,2.48,2.82,6.30,8.48,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX006800/r14194432/enhanced/SPITZER_S5_14194432_01_merge.tbl"">Table spectrum</a><br />",6335,840,"Ogle, Patrick",20142,5.21725,37.86356
477,0.222752,-47.125319,1.8118052300E+02,3.1177267900E+01,10870272,1,UGC 7064,181.18047,31.17731,4.865E-02,9.084E-04,8.134E-02,1.558E-03,1.730E-01,3.066E-03,2.966E-01,5.150E-03,3.066E-01,5.798E-03,3.172E-01,5.719E-03,6.3022,1.7723,3.5560,3.8997,181.18047,31.17731,36.04406,181.18050,31.17728,-47.69588,2005-05-23 15:10:08,IRSX005000,IRS Merged 5.217-37.86um,15,0.660,0.753,0.925,181.18057,31.17728,-0.00010,0.00003,2.82,2.99,6.89,8.82,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX005000/r10870272/enhanced/SPITZER_S5_10870272_01_merge.tbl"">Table spectrum</a><br />",3129,786,"Kraemer, Steven",3374,5.21725,37.86356
478,null,null,1.8148338400E+02,4.9998966500E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
479,1.041146,-1.560494,1.8159603300E+02,5.2711030900E+01,18941952,1,NGC 4102,181.59602,52.71132,7.076E-01,8.332E-03,8.185E-01,1.415E-02,1.723E+00,2.791E-02,4.694E+00,7.558E-02,5.179E+00,9.362E-02,5.420E+00,9.260E-02,7.3191,3.0058,2.4350,6.6219,181.59602,52.71132,71.13690,181.59621,52.71128,-12.60309,2007-05-02 01:36:42,IRSX008100,IRS Merged 5.217-37.86um,15,0.655,0.781,0.830,181.59633,52.71094,-0.00019,0.00038,3.88,3.90,6.64,9.07,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008100/r18941952/enhanced/SPITZER_S5_18941952_01_merge.tbl"">Table spectrum</a><br />",10044,1088,"Weaver, Kimberly",30745,5.21725,37.86356
480,null,null,1.8188719300E+02,3.3877808300E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
481,null,null,1.8230881400E+02,4.7058362800E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
482,204.992367,-121.200798,1.8237417000E+02,4.3685308100E+01,22914304,1,3C268.4,182.30685,43.65579,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,182.30685,43.65579,111.15674,2008-01-22 08:09:34,IRSX010100,IRS Merged 20.75-37.86um,8,null,null,null,182.30675,43.65581,0.00007,-0.00001,null,null,null,8.48,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010100/r22914304/enhanced/SPITZER_S5_22914304_01_merge.tbl"">Table spectrum</a><br />",12690,1406,"Haas, Martin",40314,20.75883,37.86356
483,null,null,1.8251687500E+02,-4.6607529000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
484,0.327003,139.722980,1.8263571400E+02,3.9405849300E+01,3754496,1,NGC 4151,182.63579,39.40578,9.518E-01,1.103E-02,1.742E+00,2.986E-02,3.242E+00,5.228E-02,4.205E+00,6.784E-02,4.076E+00,7.377E-02,4.175E+00,7.143E-02,4.2824,1.2572,3.4062,2.3967,182.63579,39.40578,-173.62170,182.63580,39.40565,102.63843,2004-01-08 09:16:53,IRSX002600,IRS Merged 5.217-37.86um,15,0.892,0.847,0.989,182.63576,39.40572,0.00003,0.00006,2.39,2.85,7.50,8.32,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX002600/r3754496/enhanced/SPITZER_S5_3754496_01_merge.tbl"">Table spectrum</a><br />",217,708,"Houck, James",14,5.21725,37.86356
485,null,null,1.8268447500E+02,3.8336174800E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
486,null,null,1.8280951500E+02,-3.9557422000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
487,null,null,1.8326279100E+02,7.0389178000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
488,null,null,1.8328878400E+02,3.2596355500E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
489,null,null,1.8326586700E+02,3.2793544800E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
490,null,null,1.8347742300E+02,-5.5054411000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
491,null,null,1.8357428100E+02,2.9528698700E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
492,null,null,1.8423805600E+02,-2.6209168000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
493,1.400777,-55.444800,1.8429117300E+02,7.1916093000E+00,22086144,1,NGC 4235,184.29085,7.19183,2.610E-02,2.489E-03,3.555E-02,2.266E-03,5.682E-02,3.932E-03,6.743E-02,5.185E-03,6.626E-02,4.111E-03,7.023E-02,4.766E-03,2.5387,1.1661,2.1770,1.9755,184.29085,7.19183,24.36544,184.29097,7.19179,-59.37452,2007-06-18 23:09:25,IRSX008200,IRS Merged 5.217-37.86um,15,0.955,0.726,0.939,184.29117,7.19158,-0.00031,0.00025,2.86,2.94,5.80,9.41,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008200/r22086144/enhanced/SPITZER_S5_22086144_01_merge.tbl"">Table spectrum</a><br />",11976,1091,"Rieke, George",40936,5.21725,37.86356
494,0.234266,-89.999981,1.8461047500E+02,2.9812940000E+01,14448896,1,Mrk 766,184.61040,29.81294,1.706E-01,2.167E-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,184.61040,29.81294,26.71282,null,null,null,2006-06-22 11:27:03,IRSX006800,IRS Merged 5.217-14.22um,3,0.845,null,null,184.61046,29.81286,-0.00005,0.00008,2.42,2.85,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX006800/r14448896/enhanced/SPITZER_S5_14448896_01_merge.tbl"">Table spectrum</a><br />",6434,840,"Lutz, Dieter",20241,5.21725,14.22932
495,0.061857,99.378600,1.8473958500E+02,4.7304012800E+01,18526208,1,NGC4258,184.73961,47.30401,8.104E-02,1.592E-03,1.442E-01,2.793E-03,2.425E-01,4.454E-03,3.172E-01,5.791E-03,3.174E-01,6.214E-03,3.348E-01,6.309E-03,3.9166,1.3089,2.9923,2.3218,184.73961,47.30401,41.97340,184.73956,47.30403,-41.76658,2007-06-09 04:15:39,IRSX008200,IRS Merged 5.217-37.86um,15,0.914,0.775,0.948,184.73967,47.30394,-0.00004,0.00006,2.76,2.91,6.97,9.41,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008200/r18526208/enhanced/SPITZER_S5_18526208_01_merge.tbl"">Table spectrum</a><br />",9439,1091,"Gorjian, Varoujan",30572,5.21725,37.86356
496,null,null,1.8534143200E+02,3.0176983100E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
497,null,null,1.8543371700E+02,7.5310637800E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
498,null,null,1.8559393900E+02,4.2210480000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
499,0.457362,-159.759853,1.8585057400E+02,2.6790292000E+00,26496768,1,MRK 0050,185.85053,2.67891,1.597E-02,9.387E-04,2.164E-02,1.052E-03,2.784E-02,2.601E-03,2.740E-02,4.102E-03,2.559E-02,3.709E-03,2.654E-02,3.962E-03,1.6024,0.9192,1.7433,1.2264,185.85053,2.67891,18.34728,185.85057,2.67894,-65.39274,2008-08-05 23:07:44,IRSX009400,IRS Merged 5.217-37.86um,15,0.931,0.853,1.099,185.85059,2.67911,-0.00005,-0.00020,2.48,2.76,6.02,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX009400/r26496768/enhanced/SPITZER_S5_26496768_01_merge.tbl"">Table spectrum</a><br />",15263,1361,"Weaver, Kimberly",50588,5.21725,37.86356
500,0.352363,-63.416989,1.8622692400E+02,2.1379566200E+01,18981632,1,PG1222+216,186.22684,21.37961,1.654E-02,3.201E-04,1.749E-02,4.554E-04,2.244E-02,7.550E-04,2.419E-02,1.174E-03,2.422E-02,1.117E-03,2.495E-02,1.144E-03,1.4643,1.0793,1.3567,1.4265,186.22684,21.37961,-156.37035,186.22688,21.37961,119.88967,2008-01-12 15:49:24,IRSX010100,IRS Merged 5.217-37.86um,15,1.008,0.886,0.955,186.22691,21.37956,-0.00008,0.00005,2.56,2.76,6.55,8.40,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX010100/r18981632/enhanced/SPITZER_S5_18981632_01_merge.tbl"">Table spectrum</a><br />",10110,1406,"Marscher, Alan",30779,5.21725,37.86356
501,0.407461,-33.483733,1.8644491400E+02,1.2662155600E+01,18510848,1,NGC4388,186.44485,12.66225,2.001E-01,2.865E-03,3.571E-01,6.349E-03,9.046E-01,1.490E-02,1.843E+00,3.003E-02,1.982E+00,3.608E-02,1.993E+00,3.434E-02,9.9050,2.1910,4.5207,5.5811,186.44485,12.66225,28.00320,186.44478,12.66219,-55.73679,2007-06-18 10:38:46,IRSX008200,IRS Merged 5.217-37.86um,15,0.833,0.780,0.861,186.44479,12.66208,0.00006,0.00017,2.54,3.05,6.72,8.74,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008200/r18510848/enhanced/SPITZER_S5_18510848_01_merge.tbl"">Table spectrum</a><br />",9426,1091,"Gorjian, Varoujan",30572,5.21725,37.86356
502,1.044187,135.252543,1.8645365500E+02,3.3546906000E+01,17792256,1,NGC4395,186.45390,33.54670,3.936E-03,3.193E-04,6.815E-03,3.802E-04,1.954E-02,7.020E-04,4.381E-02,1.093E-03,4.514E-02,1.089E-03,4.669E-02,1.115E-03,11.4685,2.3101,4.9644,6.8511,186.45390,33.54670,37.36261,186.45358,33.54687,-46.37736,2007-06-14 02:49:10,IRSX008200,IRS Merged 5.217-37.86um,15,1.115,0.571,0.873,186.45383,33.54675,0.00006,-0.00005,2.88,2.98,8.15,8.85,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008200/r17792256/enhanced/SPITZER_S5_17792256_01_merge.tbl"">Table spectrum</a><br />",8673,1091,"Barth, Aaron",30119,5.21725,37.86356
503,0.135479,-79.280159,1.8727790700E+02,2.0523930000E+00,4978176,1,3C273,187.27786,2.05240,2.327E-01,3.016E-03,2.888E-01,5.134E-03,3.745E-01,6.433E-03,5.271E-01,9.063E-03,5.294E-01,9.990E-03,5.301E-01,9.549E-03,2.2750,1.4136,1.6094,1.8355,187.27786,2.05240,-161.65929,187.27786,2.05241,114.59964,2004-01-06 14:18:33,IRSX002600,IRS Merged 5.217-37.86um,15,0.957,0.955,0.931,187.27779,2.05225,0.00007,0.00015,2.51,2.74,7.67,7.98,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX002600/r4978176/enhanced/SPITZER_S5_4978176_01_merge.tbl"">Table spectrum</a><br />",898,708,"Houck, James",105,5.21725,37.86356
504,null,null,1.8784245800E+02,5.7964619200E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
505,null,null,1.8790476400E+02,-4.7967230000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
506,0.483288,96.801980,1.8801508800E+02,2.0158205900E+01,14194944,1,pg1229+204,188.01523,20.15819,null,null,null,null,null,null,1.359E-01,2.414E-03,1.337E-01,2.617E-03,1.356E-01,2.520E-03,null,null,null,null,null,null,null,188.01523,20.15819,107.06880,2006-01-31 05:42:19,IRSX006100,IRS Merged 14.32-37.86um,12,null,null,0.985,188.01500,20.15811,0.00022,0.00007,null,null,7.56,8.23,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX006100/r14194944/enhanced/SPITZER_S5_14194944_01_merge.tbl"">Table spectrum</a><br />",6337,819,"Ogle, Patrick",20142,14.32338,37.86356
507,null,null,1.8805005900E+02,-4.2297366000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
508,0.365049,108.992023,1.8890264500E+02,-3.9909347000E+01,18511104,1,NGC4507,188.90277,-39.90938,3.227E-01,4.148E-03,5.414E-01,9.466E-03,9.430E-01,1.549E-02,1.349E+00,2.210E-02,1.347E+00,2.462E-02,1.389E+00,2.405E-02,4.1742,1.4284,2.9222,2.5656,188.90277,-39.90938,15.22252,188.90276,-39.90928,-68.51747,2007-07-29 19:38:58,IRSX008300,IRS Merged 5.217-37.86um,15,0.909,0.854,0.963,188.90228,-39.90925,0.00037,-0.00013,2.48,2.76,6.80,8.51,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008300/r18511104/enhanced/SPITZER_S5_18511104_01_merge.tbl"">Table spectrum</a><br />",9427,1094,"Gorjian, Varoujan",30572,5.21725,37.86356
509,0.367636,55.187599,1.8968093500E+02,9.4601717000E+00,18969344,1,2MASX J1238434,189.68102,9.46023,1.504E-02,8.124E-04,3.301E-02,9.626E-04,7.574E-02,1.892E-03,1.250E-01,2.965E-03,1.252E-01,2.990E-03,1.268E-01,3.000E-03,8.3245,1.6530,5.0359,3.8413,189.68102,9.46023,26.16815,189.68092,9.46031,-57.57183,2007-06-24 21:07:41,IRSX008200,IRS Merged 5.217-37.86um,15,0.845,0.849,0.984,189.68100,9.46017,0.00002,0.00006,2.55,2.82,7.06,8.32,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008200/r18969344/enhanced/SPITZER_S5_18969344_01_merge.tbl"">Table spectrum</a><br />",10091,1091,"Heckman, Timothy",30773,5.21725,37.86356
510,0.072242,147.903446,1.8972748800E+02,-2.7307803000E+01,18941696,1,ESO 506-G027,189.72749,-27.30782,1.064E-01,1.844E-03,1.268E-01,2.521E-03,2.233E-01,4.264E-03,2.460E-01,5.110E-03,2.495E-01,5.347E-03,2.576E-01,5.360E-03,2.3449,1.1173,2.0987,2.0315,189.72749,-27.30782,19.10361,189.72749,-27.30772,-64.63638,2007-08-05 01:56:05,IRSX008300,IRS Merged 5.217-37.86um,15,0.872,0.840,0.951,189.72746,-27.30783,0.00004,0.00001,2.37,2.76,6.38,8.82,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008300/r18941696/enhanced/SPITZER_S5_18941696_01_merge.tbl"">Table spectrum</a><br />",10043,1094,"Weaver, Kimberly",30745,5.21725,37.86356
511,null,null,1.8977618600E+02,-1.6179785000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
512,1.387271,117.276256,1.8991433600E+02,-5.3441634000E+00,4853504,1,NGC4593,189.91467,-5.34434,1.974E-01,2.807E-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,189.91467,-5.34434,18.58265,null,null,null,2005-07-01 20:34:21,IRSX005200,IRS Merged 5.217-14.22um,3,0.852,null,null,189.91429,-5.34425,0.00039,-0.00009,2.69,2.82,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX005200/r4853504/enhanced/SPITZER_S5_4853504_01_merge.tbl"">Table spectrum</a><br />",791,792,"Werner, Michael",86,5.21725,14.22932
513,null,null,1.8996528000E+02,3.4974945800E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
514,null,null,1.9043562400E+02,3.5062715700E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
515,null,null,1.9019577300E+02,-3.3569904000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
