Position|E(B-V)_Mean|E(B-V)_Weighted|NHI_Mean|NHI_Weighted|NH2_Mean|NH2_Weighted|NHtot_Mean|NHtot_Weighted|
J 203.35877, -34.01481| 0.058 | 0.059    | 4.11e+20 | 4.04e+20 | 8.57e+19 | 8.45e+19 | 4.96e+20 | 4.88e+20 |
J 203.66512, -23.44654| 0.096 | 0.101    | 6.67e+20 | 6.91e+20 | 2.34e+20 | 2.54e+20 | 9.01e+20 | 9.45e+20 |
J 203.95103, 2.99893| 0.025 | 0.025    | 1.89e+20 | 1.88e+20 | 1.47e+19 | 1.46e+19 | 2.03e+20 | 2.03e+20 |
J 203.97404, -34.29562| 0.057 | 0.059    | 3.93e+20 | 3.92e+20 | 7.98e+19 | 8.18e+19 | 4.73e+20 | 4.74e+20 |
J 204.41575, -12.95686| 0.073 | 0.074    | 5.16e+20 | 5.15e+20 | 1.38e+20 | 1.38e+20 | 6.54e+20 | 6.53e+20 |
J 204.56615, 4.54266| 0.027 | 0.028    | 2.07e+20 | 2.14e+20 | 1.78e+19 | 1.89e+19 | 2.25e+20 | 2.33e+20 |
J 205.30368, -14.64451| 0.066 | 0.068    | 4.96e+20 | 4.98e+20 | 1.20e+20 | 1.23e+20 | 6.16e+20 | 6.21e+20 |
J 205.27398, 67.67223| 0.017 | 0.017    | 1.36e+20 | 1.34e+20 | 6.65e+18 | 6.77e+18 | 1.43e+20 | 1.41e+20 |
J 205.29643, 30.37813| 0.016 | 0.016    | 1.37e+20 | 1.37e+20 | 6.51e+18 | 6.53e+18 | 1.43e+20 | 1.43e+20 |
J 205.53491, 35.65430| 0.011 | 0.010    | 9.34e+19 | 9.16e+19 | 2.66e+18 | 2.58e+18 | 9.60e+19 | 9.42e+19 |
J 206.06527, 19.56665| 0.021 | 0.021    | 1.73e+20 | 1.68e+20 | 1.15e+19 | 1.08e+19 | 1.85e+20 | 1.78e+20 |
J 206.32986, 41.71237| 0.008 | 0.008    | 9.53e+19 | 9.41e+19 | 2.02e+18 | 1.97e+18 | 9.73e+19 | 9.61e+19 |
J 206.61841, 19.37869| 0.022 | 0.022    | 1.83e+20 | 1.84e+20 | 1.25e+19 | 1.25e+19 | 1.95e+20 | 1.97e+20 |
J 206.53532, 73.34815| 0.020 | 0.020    | 1.83e+20 | 1.82e+20 | 1.12e+19 | 1.10e+19 | 1.94e+20 | 1.93e+20 |
J 206.90003, -60.61774| 3.500 | 3.791    | 1.06e+22 | 1.15e+22 | 1.44e+21 | 1.44e+21 | 1.21e+22 | 1.30e+22 |
J 206.82824, 2.18271| 0.026 | 0.026    | 1.69e+20 | 1.69e+20 | 1.40e+19 | 1.39e+19 | 1.83e+20 | 1.83e+20 |
J 207.33025, -30.30949| 0.059 | 0.059    | 4.59e+20 | 4.61e+20 | 9.65e+19 | 9.84e+19 | 5.56e+20 | 5.60e+20 |
J 207.47019, 2.07921| 0.028 | 0.028    | 1.81e+20 | 1.79e+20 | 1.61e+19 | 1.59e+19 | 1.97e+20 | 1.95e+20 |
J 207.87295, -18.22952| 0.085 | 0.083    | 6.93e+20 | 6.78e+20 | 2.17e+20 | 2.06e+20 | 9.10e+20 | 8.84e+20 |
J 208.26432, 69.30818| 0.018 | 0.017    | 1.63e+20 | 1.52e+20 | 8.76e+18 | 7.60e+18 | 1.72e+20 | 1.59e+20 |
J 208.36756, -11.38499| 0.061 | 0.061    | 3.86e+20 | 3.79e+20 | 8.42e+19 | 8.27e+19 | 4.70e+20 | 4.62e+20 |
J 208.56419, -37.77588| 0.077 | 0.079    | 6.15e+20 | 6.11e+20 | 1.74e+20 | 1.76e+20 | 7.88e+20 | 7.87e+20 |
J 208.62106, 13.46597| 0.024 | 0.025    | 1.64e+20 | 1.73e+20 | 1.24e+19 | 1.34e+19 | 1.76e+20 | 1.87e+20 |
J 208.89104, 35.34936| 0.013 | 0.013    | 1.22e+20 | 1.23e+20 | 4.52e+18 | 4.58e+18 | 1.26e+20 | 1.27e+20 |
J 208.97302, 38.57464| 0.019 | 0.019    | 1.43e+20 | 1.42e+20 | 8.14e+18 | 8.11e+18 | 1.51e+20 | 1.50e+20 |
J 209.01200, 18.37167| 0.027 | 0.027    | 2.01e+20 | 2.03e+20 | 1.75e+19 | 1.75e+19 | 2.19e+20 | 2.20e+20 |
J 209.15297, -19.52910| 0.081 | 0.084    | 6.08e+20 | 6.17e+20 | 1.81e+20 | 1.89e+20 | 7.89e+20 | 8.06e+20 |
J 212.02827, -30.39832| 0.062 | 0.062    | 3.60e+20 | 3.62e+20 | 7.96e+19 | 8.01e+19 | 4.39e+20 | 4.42e+20 |
J 212.68671, -42.47584| 0.082 | 0.082    | 5.42e+20 | 5.57e+20 | 1.63e+20 | 1.68e+20 | 7.05e+20 | 7.26e+20 |
J 213.29152, -65.33909| 0.808 | 0.791    | 5.50e+21 | 5.58e+21 | 1.44e+21 | 1.44e+21 | 6.94e+21 | 7.02e+21 |
J 213.31199, -3.20767| 0.056 | 0.056    | 4.01e+20 | 4.08e+20 | 7.93e+19 | 8.14e+19 | 4.80e+20 | 4.89e+20 |
J 214.20836, -11.98279| 0.072 | 0.070    | 5.79e+20 | 5.63e+20 | 1.53e+20 | 1.44e+20 | 7.32e+20 | 7.07e+20 |
J 214.26526, -46.69478| 0.126 | 0.124    | 8.08e+20 | 8.22e+20 | 3.65e+20 | 3.65e+20 | 1.17e+21 | 1.19e+21 |
J 214.42894, 61.69797| 0.016 | 0.017    | 1.78e+20 | 1.80e+20 | 8.49e+18 | 9.15e+18 | 1.86e+20 | 1.89e+20 |
J 214.48613, 25.72412| 0.018 | 0.018    | 1.53e+20 | 1.54e+20 | 8.44e+18 | 8.41e+18 | 1.62e+20 | 1.63e+20 |
J 214.49811, 25.13685| 0.018 | 0.019    | 1.60e+20 | 1.55e+20 | 8.88e+18 | 8.67e+18 | 1.69e+20 | 1.64e+20 |
J 214.84335, -26.64475| 0.071 | 0.070    | 4.76e+20 | 4.69e+20 | 1.23e+20 | 1.20e+20 | 5.99e+20 | 5.89e+20 |
J 215.37397, 47.79016| 0.017 | 0.018    | 1.55e+20 | 1.64e+20 | 7.77e+18 | 8.83e+18 | 1.63e+20 | 1.73e+20 |
J 216.09551, 24.61419| 0.025 | 0.025    | 2.00e+20 | 1.90e+20 | 1.60e+19 | 1.48e+19 | 2.16e+20 | 2.05e+20 |
J 216.85436, 19.83118| 0.035 | 0.035    | 2.61e+20 | 2.59e+20 | 3.04e+19 | 3.03e+19 | 2.91e+20 | 2.90e+20 |
J 217.13588, 42.67250| 0.012 | 0.012    | 1.11e+20 | 1.13e+20 | 3.65e+18 | 3.68e+18 | 1.14e+20 | 1.16e+20 |
J 217.27740, 1.28503| 0.033 | 0.034    | 2.60e+20 | 2.60e+20 | 2.86e+19 | 2.90e+19 | 2.88e+20 | 2.89e+20 |
J 217.76993, 28.28727| 0.017 | 0.018    | 1.50e+20 | 1.50e+20 | 7.75e+18 | 7.89e+18 | 1.57e+20 | 1.58e+20 |
J 218.16963, -44.17443| 0.157 | 0.157    | 7.81e+20 | 8.01e+20 | 4.33e+20 | 4.42e+20 | 1.21e+21 | 1.24e+21 |
J 218.46784, 5.45838| 0.033 | 0.033    | 2.47e+20 | 2.48e+20 | 2.67e+19 | 2.70e+19 | 2.73e+20 | 2.75e+20 |
J 218.71857, 48.66187| 0.027 | 0.030    | 2.67e+20 | 2.86e+20 | 2.38e+19 | 2.80e+19 | 2.91e+20 | 3.15e+20 |
J 219.09202, 58.79430| 0.009 | 0.009    | 1.15e+20 | 1.15e+20 | 2.68e+18 | 2.66e+18 | 1.18e+20 | 1.17e+20 |
J 219.20675, -16.22812| 0.118 | 0.120    | 7.45e+20 | 7.59e+20 | 3.19e+20 | 3.29e+20 | 1.06e+21 | 1.09e+21 |
J 219.79946, 14.25610| 0.020 | 0.020    | 1.41e+20 | 1.42e+20 | 8.55e+18 | 8.34e+18 | 1.50e+20 | 1.50e+20 |
J 220.15875, 53.50445| 0.011 | 0.011    | 1.04e+20 | 1.05e+20 | 3.01e+18 | 3.14e+18 | 1.07e+20 | 1.09e+20 |
J 220.59947, -17.25302| 0.097 | 0.098    | 7.35e+20 | 7.36e+20 | 2.62e+20 | 2.65e+20 | 9.97e+20 | 1.00e+21 |
J 221.40353, 27.03488| 0.026 | 0.026    | 2.50e+20 | 2.50e+20 | 2.11e+19 | 2.07e+19 | 2.72e+20 | 2.71e+20 |
J 221.61747, -64.27322| 0.766 | 0.787    | 3.72e+21 | 3.83e+21 | 1.44e+21 | 1.44e+21 | 5.16e+21 | 5.27e+21 |
J 222.21241, -40.14605| 0.104 | 0.106    | 7.19e+20 | 7.22e+20 | 2.73e+20 | 2.79e+20 | 9.92e+20 | 1.00e+21 |
J 223.74052, 85.91636| 0.149 | 0.162    | 5.24e+20 | 5.47e+20 | 2.86e+20 | 3.21e+20 | 8.09e+20 | 8.68e+20 |
J 222.88810, -55.67731| 1.093 | 1.089    | 4.70e+21 | 4.64e+21 | 1.44e+21 | 1.44e+21 | 6.14e+21 | 6.08e+21 |
J 222.30311, -55.60570| 0.965 | 0.995    | 4.30e+21 | 4.43e+21 | 1.44e+21 | 1.44e+21 | 5.74e+21 | 5.87e+21 |
J 223.28302, 25.90920| 0.036 | 0.036    | 3.13e+20 | 3.26e+20 | 3.79e+19 | 4.01e+19 | 3.51e+20 | 3.66e+20 |
J 223.82294, -51.57088| 0.596 | 0.605    | 2.87e+21 | 2.91e+21 | 1.43e+21 | 1.44e+21 | 4.31e+21 | 4.34e+21 |
J 224.42158, -43.13206| 0.133 | 0.138    | 8.56e+20 | 8.78e+20 | 4.04e+20 | 4.28e+20 | 1.26e+21 | 1.31e+21 |
J 224.78163, 71.67218| 0.022 | 0.022    | 2.27e+20 | 2.27e+20 | 1.57e+19 | 1.58e+19 | 2.42e+20 | 2.42e+20 |
J 226.00496, 10.43773| 0.033 | 0.033    | 2.19e+20 | 2.22e+20 | 2.32e+19 | 2.39e+19 | 2.43e+20 | 2.46e+20 |
J 226.48564, 3.70731| 0.047 | 0.046    | 3.92e+20 | 3.80e+20 | 6.51e+19 | 6.10e+19 | 4.57e+20 | 4.41e+20 |
J 226.68387, 3.86231| 0.044 | 0.044    | 3.72e+20 | 3.73e+20 | 5.67e+19 | 5.77e+19 | 4.28e+20 | 4.31e+20 |
J 227.16180, -49.88392| 0.437 | 0.395    | 2.10e+21 | 2.04e+21 | 1.37e+21 | 1.33e+21 | 3.46e+21 | 3.38e+21 |
J 227.22482, -0.19697| 0.062 | 0.061    | 4.79e+20 | 4.79e+20 | 1.06e+20 | 1.05e+20 | 5.85e+20 | 5.84e+20 |
J 227.99919, -21.31710| 0.130 | 0.131    | 8.34e+20 | 8.32e+20 | 3.89e+20 | 3.89e+20 | 1.22e+21 | 1.22e+21 |
J 227.95288, -10.84013| 0.108 | 0.107    | 8.14e+20 | 8.20e+20 | 3.20e+20 | 3.18e+20 | 1.13e+21 | 1.14e+21 |
J 228.02111, -10.77658| 0.108 | 0.107    | 8.10e+20 | 8.13e+20 | 3.17e+20 | 3.15e+20 | 1.13e+21 | 1.13e+21 |
J 228.21054, -9.09995| 0.096 | 0.096    | 6.99e+20 | 6.89e+20 | 2.46e+20 | 2.43e+20 | 9.45e+20 | 9.32e+20 |
J 228.67491, -81.39388| 0.261 | 0.273    | 9.38e+20 | 9.35e+20 | 7.58e+20 | 7.80e+20 | 1.70e+21 | 1.71e+21 |
J 228.76356, 42.04982| 0.024 | 0.025    | 1.70e+20 | 1.80e+20 | 1.24e+19 | 1.39e+19 | 1.83e+20 | 1.94e+20 |
J 229.89030, 65.59961| 0.027 | 0.027    | 2.52e+20 | 2.64e+20 | 2.18e+19 | 2.32e+19 | 2.74e+20 | 2.87e+20 |
J 230.41529, 3.62479| 0.044 | 0.045    | 3.55e+20 | 3.51e+20 | 5.45e+19 | 5.49e+19 | 4.10e+20 | 4.06e+20 |
J 230.94114, 63.65675| 0.018 | 0.018    | 1.51e+20 | 1.48e+20 | 8.00e+18 | 7.75e+18 | 1.59e+20 | 1.56e+20 |
J 232.49302, -13.01103| 0.140 | 0.139    | 9.18e+20 | 9.09e+20 | 4.53e+20 | 4.45e+20 | 1.37e+21 | 1.35e+21 |
J 233.33624, -8.70053| 0.129 | 0.129    | 8.15e+20 | 8.17e+20 | 3.77e+20 | 3.79e+20 | 1.19e+21 | 1.20e+21 |
J 233.96834, 57.90264| 0.013 | 0.013    | 1.69e+20 | 1.76e+20 | 6.38e+18 | 6.91e+18 | 1.75e+20 | 1.83e+20 |
J 235.59991, -14.18490| 0.152 | 0.152    | 9.74e+20 | 9.61e+20 | 5.11e+20 | 5.04e+20 | 1.48e+21 | 1.47e+21 |
J 236.60138, 69.48618| 0.030 | 0.032    | 3.07e+20 | 3.13e+20 | 3.07e+19 | 3.34e+19 | 3.38e+20 | 3.47e+20 |
J 236.93141, 20.87129| 0.049 | 0.048    | 3.84e+20 | 3.79e+20 | 6.62e+19 | 6.32e+19 | 4.50e+20 | 4.43e+20 |
J 237.12657, -64.02634| 0.212 | 0.216    | 1.94e+21 | 1.97e+21 | 1.04e+21 | 1.06e+21 | 2.99e+21 | 3.04e+21 |
J 237.10394, -13.75756| 0.162 | 0.160    | 1.03e+21 | 1.02e+21 | 5.63e+20 | 5.52e+20 | 1.59e+21 | 1.57e+21 |
J 238.43163, 23.80705| 0.056 | 0.056    | 4.20e+20 | 4.16e+20 | 8.40e+19 | 8.28e+19 | 5.04e+20 | 4.99e+20 |
J 238.39473, 26.24486| 0.051 | 0.051    | 4.21e+20 | 4.18e+20 | 7.68e+19 | 7.61e+19 | 4.98e+20 | 4.94e+20 |
J 239.24533, -79.23452| 0.185 | 0.185    | 9.42e+20 | 9.18e+20 | 5.85e+20 | 5.74e+20 | 1.53e+21 | 1.49e+21 |
J 241.34690, -72.89898| 0.101 | 0.101    | 7.92e+20 | 7.94e+20 | 2.93e+20 | 2.91e+20 | 1.08e+21 | 1.08e+21 |
J 241.80803, 48.55734| 0.017 | 0.018    | 1.46e+20 | 1.55e+20 | 7.50e+18 | 8.43e+18 | 1.53e+20 | 1.63e+20 |
J 241.85098, 85.02966| 0.136 | 0.133    | 5.89e+20 | 5.93e+20 | 2.92e+20 | 2.87e+20 | 8.81e+20 | 8.80e+20 |
J 242.96416, -60.63196| 0.232 | 0.240    | 1.81e+21 | 1.83e+21 | 1.05e+21 | 1.08e+21 | 2.86e+21 | 2.91e+21 |
J 243.48824, 65.71944| 0.028 | 0.028    | 2.54e+20 | 2.41e+20 | 2.34e+19 | 2.18e+19 | 2.78e+20 | 2.62e+20 |
J 244.42724, 32.37622| 0.022 | 0.022    | 1.82e+20 | 1.79e+20 | 1.27e+19 | 1.22e+19 | 1.95e+20 | 1.91e+20 |
J 244.65196, -59.45480| 0.271 | 0.260    | 2.16e+21 | 2.07e+21 | 1.22e+21 | 1.18e+21 | 3.37e+21 | 3.25e+21 |
J 244.83046, 81.04650| 0.048 | 0.048    | 4.38e+20 | 4.55e+20 | 7.42e+19 | 7.80e+19 | 5.12e+20 | 5.33e+20 |
J 246.47210, 43.78721| 0.010 | 0.010    | 8.87e+19 | 8.52e+19 | 2.34e+18 | 2.30e+18 | 9.10e+19 | 8.75e+19 |
J 246.52515, -29.85740| 0.399 | 0.412    | 1.35e+21 | 1.36e+21 | 1.18e+21 | 1.20e+21 | 2.53e+21 | 2.55e+21 |
J 246.35805, 85.49494| 0.159 | 0.156    | 6.19e+20 | 6.22e+20 | 3.54e+20 | 3.49e+20 | 9.72e+20 | 9.72e+20 |
J 247.01691, 51.77542| 0.024 | 0.024    | 1.85e+20 | 1.83e+20 | 1.41e+19 | 1.36e+19 | 1.99e+20 | 1.96e+20 |
J 247.45160, 67.37834| 0.035 | 0.036    | 4.06e+20 | 3.97e+20 | 4.97e+19 | 4.97e+19 | 4.55e+20 | 4.47e+20 |
J 247.63608, 39.38422| 0.009 | 0.009    | 9.93e+19 | 9.36e+19 | 2.52e+18 | 2.22e+18 | 1.02e+20 | 9.58e+19 |
J 247.81473, 23.88271| 0.051 | 0.050    | 3.84e+20 | 3.77e+20 | 6.86e+19 | 6.66e+19 | 4.52e+20 | 4.43e+20 |
J 248.80834, -58.07996| 0.342 | 0.338    | 2.34e+21 | 2.28e+21 | 1.33e+21 | 1.32e+21 | 3.68e+21 | 3.60e+21 |
J 250.83447, 70.63256| 0.037 | 0.039    | 5.39e+20 | 5.66e+20 | 7.04e+19 | 7.81e+19 | 6.09e+20 | 6.45e+20 |
J 250.74505, 39.81027| 0.012 | 0.012    | 1.09e+20 | 1.14e+20 | 3.47e+18 | 3.74e+18 | 1.12e+20 | 1.17e+20 |
J 252.06354, -30.58450| 0.389 | 0.392    | 1.59e+21 | 1.63e+21 | 1.24e+21 | 1.25e+21 | 2.83e+21 | 2.88e+21 |
J 252.67814, 4.60510| 0.103 | 0.104    | 6.18e+20 | 6.16e+20 | 2.34e+20 | 2.36e+20 | 8.52e+20 | 8.52e+20 |
J 252.83447, -59.23451| 0.176 | 0.174    | 1.35e+21 | 1.34e+21 | 7.40e+20 | 7.35e+20 | 2.09e+21 | 2.08e+21 |
J 253.19304, -59.21695| 0.174 | 0.167    | 1.34e+21 | 1.29e+21 | 7.33e+20 | 6.92e+20 | 2.08e+21 | 1.99e+21 |
J 253.07871, 55.90558| 0.018 | 0.017    | 1.63e+20 | 1.65e+20 | 8.80e+18 | 8.64e+18 | 1.72e+20 | 1.74e+20 |
J 253.24540, 2.40102| 0.079 | 0.078    | 4.96e+20 | 4.87e+20 | 1.43e+20 | 1.39e+20 | 6.39e+20 | 6.26e+20 |
J 253.31274, 23.82858| 0.058 | 0.057    | 4.20e+20 | 4.17e+20 | 8.69e+19 | 8.42e+19 | 5.07e+20 | 5.01e+20 |
J 253.46759, 39.76018| 0.018 | 0.018    | 1.58e+20 | 1.55e+20 | 8.48e+18 | 8.53e+18 | 1.66e+20 | 1.64e+20 |
J 254.02337, -52.06135| 0.431 | 0.425    | 2.47e+21 | 2.46e+21 | 1.39e+21 | 1.39e+21 | 3.86e+21 | 3.85e+21 |
J 254.06992, -33.03686| 0.504 | 0.515    | 1.93e+21 | 1.97e+21 | 1.38e+21 | 1.39e+21 | 3.31e+21 | 3.35e+21 |
J 257.24633, 21.88560| 0.063 | 0.063    | 5.22e+20 | 5.28e+20 | 1.19e+20 | 1.20e+20 | 6.41e+20 | 6.48e+20 |
J 259.24812, -62.82056| 0.101 | 0.098    | 7.96e+20 | 7.79e+20 | 2.94e+20 | 2.78e+20 | 1.09e+21 | 1.06e+21 |
J 259.81042, 48.98039| 0.019 | 0.019    | 1.70e+20 | 1.67e+20 | 1.00e+19 | 9.81e+18 | 1.80e+20 | 1.77e+20 |
J 260.50797, 43.25667| 0.022 | 0.023    | 1.86e+20 | 1.91e+20 | 1.27e+19 | 1.37e+19 | 1.99e+20 | 2.05e+20 |
J 260.83665, 34.29945| 0.035 | 0.035    | 3.03e+20 | 3.00e+20 | 3.55e+19 | 3.54e+19 | 3.39e+20 | 3.36e+20 |
J 260.84668, 36.50283| 0.044 | 0.046    | 3.91e+20 | 3.89e+20 | 6.02e+19 | 6.27e+19 | 4.51e+20 | 4.52e+20 |
J 262.80575, 14.71551| 0.100 | 0.098    | 6.60e+20 | 6.44e+20 | 2.42e+20 | 2.32e+20 | 9.01e+20 | 8.76e+20 |
J 263.40365, 36.52552| 0.036 | 0.037    | 3.04e+20 | 3.07e+20 | 3.71e+19 | 3.82e+19 | 3.41e+20 | 3.46e+20 |
J 264.36829, -29.13391| 2.837 | 2.965    | 7.32e+21 | 7.57e+21 | 1.44e+21 | 1.44e+21 | 8.76e+21 | 9.01e+21 |
J 264.46691, -60.06660| 0.085 | 0.085    | 5.99e+20 | 6.00e+20 | 1.86e+20 | 1.87e+20 | 7.86e+20 | 7.87e+20 |
J 264.41279, -59.94072| 0.089 | 0.086    | 6.10e+20 | 6.02e+20 | 1.99e+20 | 1.90e+20 | 8.09e+20 | 7.93e+20 |
J 265.48024, -12.19904| 0.651 | 0.637    | 2.04e+21 | 2.00e+21 | 1.42e+21 | 1.42e+21 | 3.46e+21 | 3.42e+21 |
J 265.50624, -60.92008| 0.082 | 0.080    | 6.02e+20 | 5.84e+20 | 1.81e+20 | 1.70e+20 | 7.83e+20 | 7.54e+20 |
J 265.52896, 18.45585| 0.069 | 0.068    | 5.52e+20 | 5.51e+20 | 1.39e+20 | 1.37e+20 | 6.92e+20 | 6.88e+20 |
J 265.82253, 62.83922| 0.032 | 0.032    | 2.96e+20 | 2.95e+20 | 3.21e+19 | 3.17e+19 | 3.28e+20 | 3.27e+20 |
J 266.40944, 29.13949| 0.054 | 0.055    | 5.05e+20 | 5.11e+20 | 9.79e+19 | 1.01e+20 | 6.03e+20 | 6.13e+20 |
J 266.87277, -22.87883| 1.183 | 1.176    | 3.05e+21 | 3.01e+21 | 1.44e+21 | 1.44e+21 | 4.49e+21 | 4.45e+21 |
J 267.15956, 68.70453| 0.038 | 0.039    | 3.99e+20 | 4.03e+20 | 5.32e+19 | 5.38e+19 | 4.53e+20 | 4.56e+20 |
J 266.74814, 68.60852| 0.039 | 0.039    | 4.00e+20 | 4.06e+20 | 5.45e+19 | 5.58e+19 | 4.55e+20 | 4.62e+20 |
J 267.22974, -32.91461| 2.127 | 1.897    | 4.71e+21 | 4.36e+21 | 1.44e+21 | 1.44e+21 | 6.15e+21 | 5.80e+21 |
J 267.98255, -60.32870| 0.094 | 0.094    | 6.89e+20 | 6.95e+20 | 2.37e+20 | 2.40e+20 | 9.26e+20 | 9.35e+20 |
J 270.03028, 66.61509| 0.044 | 0.044    | 3.93e+20 | 3.94e+20 | 6.00e+19 | 6.04e+19 | 4.53e+20 | 4.54e+20 |
J 270.69743, -14.91524| 1.481 | 1.504    | 4.44e+21 | 4.49e+21 | 1.44e+21 | 1.44e+21 | 5.88e+21 | 5.93e+21 |
J 271.95796, 11.34698| 0.134 | 0.133    | 7.49e+20 | 7.43e+20 | 3.61e+20 | 3.55e+20 | 1.11e+21 | 1.10e+21 |
J 274.04887, 42.66157| 0.045 | 0.043    | 3.12e+20 | 3.14e+20 | 4.82e+19 | 4.67e+19 | 3.60e+20 | 3.60e+20 |
J 275.48844, 64.34339| 0.041 | 0.041    | 3.49e+20 | 3.44e+20 | 4.95e+19 | 4.87e+19 | 3.98e+20 | 3.93e+20 |
J 275.36189, 59.92252| 0.044 | 0.044    | 3.41e+20 | 3.39e+20 | 5.22e+19 | 5.22e+19 | 3.93e+20 | 3.92e+20 |
J 276.08076, -56.36910| 0.108 | 0.104    | 7.44e+20 | 7.23e+20 | 2.93e+20 | 2.75e+20 | 1.04e+21 | 9.98e+20 |
J 276.04511, 18.76909| 0.222 | 0.218    | 1.78e+21 | 1.74e+21 | 1.02e+21 | 1.00e+21 | 2.81e+21 | 2.74e+21 |
J 276.37373, 72.15108| 0.061 | 0.060    | 5.05e+20 | 5.06e+20 | 1.11e+20 | 1.10e+20 | 6.16e+20 | 6.15e+20 |
J 276.48998, -7.17299| 2.096 | 2.030    | 6.43e+21 | 6.24e+21 | 1.44e+21 | 1.44e+21 | 7.87e+21 | 7.68e+21 |
J 276.63504, 32.85824| 0.082 | 0.089    | 5.94e+20 | 6.30e+20 | 1.78e+20 | 2.05e+20 | 7.73e+20 | 8.35e+20 |
J 277.38242, 48.74617| 0.067 | 0.072    | 5.47e+20 | 5.78e+20 | 1.34e+20 | 1.52e+20 | 6.82e+20 | 7.30e+20 |
J 277.71098, 9.47834| 0.219 | 0.222    | 1.51e+21 | 1.55e+21 | 9.23e+20 | 9.47e+20 | 2.43e+21 | 2.50e+21 |
J 278.41630, -21.06113| 0.484 | 0.491    | 2.02e+21 | 2.05e+21 | 1.38e+21 | 1.39e+21 | 3.40e+21 | 3.44e+21 |
J 278.76412, 32.69635| 0.081 | 0.077    | 7.14e+20 | 6.98e+20 | 2.12e+20 | 1.98e+20 | 9.27e+20 | 8.96e+20 |
J 279.24264, -59.40229| 0.085 | 0.079    | 6.77e+20 | 6.47e+20 | 2.11e+20 | 1.89e+20 | 8.88e+20 | 8.36e+20 |
J 279.58468, -65.42755| 0.071 | 0.073    | 5.62e+20 | 5.71e+20 | 1.45e+20 | 1.51e+20 | 7.07e+20 | 7.22e+20 |
J 280.53752, 79.77143| 0.077 | 0.076    | 3.54e+20 | 3.47e+20 | 9.74e+19 | 9.48e+19 | 4.51e+20 | 4.41e+20 |
J 281.22497, -62.36469| 0.100 | 0.102    | 6.84e+20 | 6.97e+20 | 2.50e+20 | 2.61e+20 | 9.34e+20 | 9.57e+20 |
J 281.35912, 72.18373| 0.068 | 0.066    | 5.70e+20 | 5.61e+20 | 1.42e+20 | 1.36e+20 | 7.12e+20 | 6.97e+20 |
J 282.60455, 84.37906| 0.109 | 0.107    | 5.33e+20 | 5.17e+20 | 2.14e+20 | 2.02e+20 | 7.47e+20 | 7.20e+20 |
J 281.70711, 84.41813| 0.105 | 0.107    | 5.27e+20 | 5.23e+20 | 2.03e+20 | 2.05e+20 | 7.30e+20 | 7.27e+20 |
J 281.76163, -78.53043| 0.151 | 0.138    | 8.65e+20 | 8.44e+20 | 4.57e+20 | 4.14e+20 | 1.32e+21 | 1.26e+21 |
J 283.20629, 30.07417| 0.185 | 0.190    | 1.38e+21 | 1.38e+21 | 7.82e+20 | 7.92e+20 | 2.17e+21 | 2.17e+21 |
J 283.66778, -78.89832| 0.159 | 0.162    | 8.72e+20 | 8.43e+20 | 4.82e+20 | 4.77e+20 | 1.35e+21 | 1.32e+21 |
J 284.00229, 15.63290| 0.727 | 0.770    | 3.46e+21 | 3.54e+21 | 1.44e+21 | 1.44e+21 | 4.89e+21 | 4.98e+21 |
J 284.20572, -54.70831| 0.077 | 0.081    | 5.91e+20 | 6.01e+20 | 1.66e+20 | 1.77e+20 | 7.57e+20 | 7.78e+20 |
J 284.28231, -78.47254| 0.162 | 0.163    | 8.45e+20 | 8.33e+20 | 4.76e+20 | 4.75e+20 | 1.32e+21 | 1.31e+21 |
J 285.95474, 33.84477| 0.083 | 0.086    | 7.32e+20 | 7.60e+20 | 2.24e+20 | 2.39e+20 | 9.56e+20 | 9.99e+20 |
J 286.35808, 42.46103| 0.080 | 0.075    | 5.80e+20 | 5.83e+20 | 1.70e+20 | 1.60e+20 | 7.49e+20 | 7.43e+20 |
J 288.31139, -50.18287| 0.071 | 0.069    | 5.26e+20 | 5.28e+20 | 1.35e+20 | 1.32e+20 | 6.61e+20 | 6.59e+20 |
J 289.86685, -29.96890| 0.117 | 0.121    | 7.83e+20 | 7.89e+20 | 3.33e+20 | 3.45e+20 | 1.12e+21 | 1.13e+21 |
J 290.30898, -58.67027| 0.087 | 0.095    | 4.87e+20 | 4.83e+20 | 1.54e+20 | 1.68e+20 | 6.41e+20 | 6.50e+20 |
J 291.25910, 50.72050| 0.100 | 0.103    | 7.73e+20 | 7.77e+20 | 2.81e+20 | 2.92e+20 | 1.05e+21 | 1.07e+21 |
J 291.62590, 41.55138| 0.106 | 0.111    | 8.59e+20 | 8.93e+20 | 3.30e+20 | 3.55e+20 | 1.19e+21 | 1.25e+21 |
J 291.95202, 73.96707| 0.137 | 0.136    | 7.20e+20 | 7.15e+20 | 3.56e+20 | 3.51e+20 | 1.08e+21 | 1.07e+21 |
J 292.55750, 34.18043| 0.205 | 0.201    | 1.62e+21 | 1.58e+21 | 9.27e+20 | 8.99e+20 | 2.55e+21 | 2.48e+21 |
J 293.44650, 32.90721| 0.299 | 0.293    | 2.12e+21 | 2.14e+21 | 1.25e+21 | 1.24e+21 | 3.37e+21 | 3.38e+21 |
J 294.38761, -6.21800| 0.278 | 0.274    | 1.08e+21 | 1.06e+21 | 8.69e+20 | 8.50e+20 | 1.95e+21 | 1.91e+21 |
