|name                       |ra        |dec      |time               |obsid      |status   |exposure_a|observation_mode|public_date|issue_flag|end_time           |_Search_Offset                  |
|2MASXJ01485967p2145343     |01 49 03.0|+21 46 58|2016-06-29 22:06:08|60161074002|archived |     19880|SCIENCE         | 2016-07-11|         0|2016-06-30 09:01:08|   1.591 (27.2487096,21.7594329)|
|NGC678                     |01 49 20.6|+21 57 44|2020-12-25 05:11:09|60760001002|archived |     29513|SCIENCE         | 2021-10-01|         0|2020-12-25 21:21:09|    2.330 (27.353505,21.9973509)|
|2MASXJ01492228m5015073     |01 49 07.2|-50 17 45|2024-01-25 02:06:09|60161076002|archived |     27846|SCIENCE         | 2024-02-05|         0|2024-01-25 16:11:09|   3.554 (27.3426785,-50.252056)|
|ESO354mG004                |01 51 41.9|-36 11 16|                   |60160077   |accepted |    -20000|                |           |          |                   |   0.009 (27.9244134,-36.187829)|
|MCG_01_05_047              |01 52 45.8|-03 29 18|2012-11-30 00:06:07|60061016002|archived |     13417|SCIENCE         | 2015-03-31|         0|2012-11-30 08:01:07|    2.618 (28.2043279,-3.446844)|
|2MASSiJ0154403m270701      |01 54 40.3|-27 07 00|                   |60160079   |accepted |    -20000|                |           |          |                   |   0.015 (28.6679935,-27.117034)|
|1ES0152p022                |01 55 26.8|+02 26 55|2017-11-07 06:51:09|60160080002|archived |     21007|SCIENCE         | 2017-11-18|         1|2017-11-07 17:26:09|    1.438 (28.8539726,2.4712572)|
|2MASXJ01571097p4715588     |01 57 10.9|+47 16 00|                   |60161081   |accepted |    -20000|                |           |          |                   |   0.009 (29.2956399,47.2664508)|
|MCGp04_05_034              |02 00 19.1|+24 28 26|                   |60061017   |accepted |    -20000|                |           |          |                   |   0.017 (30.0793962,24.4738372)|
|NGC788                     |02 01 01.4|-06 51 18|2013-01-28 05:21:07|60061018002|archived |     15411|SCIENCE         | 2015-03-31|         0|2013-01-28 13:21:07|   2.665 (30.2769167,-6.8158862)|
|2MASXJ02013241p6824219     |02 01 58.7|+68 25 29|2023-06-27 01:11:09|60161085002|archived |     25360|SCIENCE         | 2023-07-03|         1|2023-06-27 12:21:09|   4.094 (30.5723165,68.3626549)|
|2MASXJ02021731p6821460     |02 02 17.3|+68 21 43|                   |60161084   |accepted |    -20000|                |           |          |                   |   0.040 (30.5723165,68.3626549)|
|2MASXJ02013241p6824219     |02 01 58.7|+68 25 29|2023-06-27 01:11:09|60161085002|archived |     25360|SCIENCE         | 2023-07-03|         1|2023-06-27 12:21:09|    2.667 (30.384773,68.4060751)|
|2MASXJ02021731p6821460     |02 02 17.3|+68 21 43|                   |60161084   |accepted |    -20000|                |           |          |                   |    4.911 (30.384773,68.4060751)|
|1RXSJ020301d2m240213       |02 03 00.9|-24 02 12|                   |60160086   |accepted |    -20000|                |           |          |                   |   0.016 (30.7539409,-24.036751)|
|Mrk_1018                   |02 06 11.2|-00 18 40|2018-03-05 00:01:09|60301022003|archived |     43435|SCIENCE         | 2019-03-13|         0|2018-03-06 01:16:09|   1.670 (31.5666194,-0.2914554)|
|Mrk_1018                   |02 06 17.8|-00 15 28|2018-07-17 20:21:09|60301022005|archived |     41842|SCIENCE         | 2019-07-28|         0|2018-07-18 18:41:09|   2.070 (31.5666194,-0.2914554)|
|Mrk_1018                   |02 06 13.4|-00 19 09|2018-01-05 13:11:09|60301022002|archived |     27050|SCIENCE         | 2019-03-13|         0|2018-01-06 13:11:09|   1.788 (31.5666194,-0.2914554)|
|Mrk1018                    |02 06 13.0|-00 18 36|2016-02-10 22:11:08|60160087002|archived |     21621|SCIENCE         | 2016-02-19|         0|2016-02-11 10:11:08|   1.341 (31.5666194,-0.2914554)|
|MRK_1018                   |02 06 21.5|-00 15 05|2021-08-15 03:46:09|60761011002|archived |     17645|SCIENCE         | 2021-08-23|         0|2021-08-15 14:51:09|   2.779 (31.5666194,-0.2914554)|
|3C59                       |02 07 05.1|+29 29 42|2023-02-02 13:16:09|60160088002|archived |     18911|SCIENCE         | 2023-02-13|         0|2023-02-03 01:06:09|   1.238 (31.7591853,29.5127814)|
|MCGp07m05m016              |02 07 38.9|+44 50 59|2015-11-07 15:11:08|60161089002|archived |     21785|SCIENCE         | 2015-11-13|         0|2015-11-08 02:06:08|   2.271 (31.9649507,44.8439997)|
|NVSSJ020834m173933         |02 08 34.9|-17 39 33|                   |60160090   |accepted |    -20000|                |           |          |                   |   0.022 (32.1456037,-17.659656)|
