Results from heasarc_numaster: NuSTAR Master Catalog
Coordinate system:  Equatorial
|name                   |ra        |dec      |time               |obsid      |status   |exposure_a|observation_mode|obs_type|processing_date    |public_date|issue_flag|_Search_Offset                |
|2MASXJ03252346m5635443 |03 25 37.2|-56 35 24|2019-10-14 18:51:09|60160154002|archived |     23195|SCIENCE         |EGS     |2020-07-22 03:29:13| 2019-10-30|         0|     1.920 (SWIFTJ0326.0-5633)|
|2MASXJ03305218p0538253 |03 30 52.2|+05 38 25|                   |60160156   |accepted |    -20000|                |EGS     |                   |           |          |     0.002 (SWIFTJ0331.3+0538)|
|2MASXJ03331873p3718107 |03 33 18.8|+37 18 11|                   |60160158   |accepted |    -20000|                |EGS     |                   |           |          |     0.007 (SWIFTJ0333.3+3720)|
|2MASXJ03342453m1513402 |03 34 24.5|-15 13 39|                   |60160160   |accepted |    -20000|                |EGS     |                   |           |          |     0.011 (SWIFTJ0334.4-1515)|
|ESO548mG081            |03 42 03.7|-21 14 39|                   |60160163   |accepted |    -20000|                |EGS     |                   |           |          |     0.002 (SWIFTJ0342.0-2115)|
|LCRSB034324d7m394349   |03 45 12.5|-39 34 29|                   |60160164   |accepted |    -20000|                |EGS     |                   |           |          |     0.006 (SWIFTJ0345.2-3935)|
|1RXSJ034704d9m302409   |03 47 14.6|-30 22 56|2018-10-22 05:31:09|60376003002|archived |     52207|SCIENCE         |ELS     |2020-08-01 23:53:48| 2018-11-09|         0|     2.144 (SWIFTJ0347.0-3027)|
|1RXSJ034704d9m302409   |03 46 53.7|-30 24 28|2013-03-24 03:11:07|60061039004|archived |     12704|SCIENCE         |EGS     |2020-11-14 17:52:17| 2015-03-31|         0|     2.627 (SWIFTJ0347.0-3027)|
|1RXSJ034704d9m302409   |03 46 52.7|-30 24 04|2013-04-02 11:51:07|60061039006|archived |      9523|SCIENCE         |EGS     |2020-11-14 14:10:34| 2015-03-31|         0|     2.780 (SWIFTJ0347.0-3027)|
|1RXSJ034704d9m302409   |03 47 01.3|-30 24 00|2013-03-15 18:46:07|60061039002|archived |      6363|SCIENCE         |EGS     |2020-11-14 21:52:11| 2015-03-31|         0|     0.925 (SWIFTJ0347.0-3027)|
|RBS0482                |03 51 41.6|-40 28 00|                   |60061041   |accepted |    -20000|                |EGS     |                   |           |          |     0.018 (SWIFTJ0351.7-4030)|
|2MASX_J03540948        |03 54 16.4|+02 51 40|2021-08-15 15:11:09|60761002002|archived |     19912|SCIENCE         |N07     |2021-08-17 04:28:37| 2021-08-23|         0|     2.762 (SWIFTJ0354.2+0250)|
|ESO359mG019            |04 05 01.7|-37 11 15|                   |60160180   |accepted |    -20000|                |EGS     |                   |           |          |     0.007 (SWIFTJ0405.3-3707)|
|3C_109                 |04 13 44.1|+11 13 33|2017-08-22 20:06:09|60301011004|archived |     89150|SCIENCE         |N03     |2020-08-29 01:41:14| 2018-09-05|         1|     1.600 (SWIFTJ0413.8+1112)|
|3C_109                 |04 13 44.6|+11 13 38|2017-08-20 01:56:09|60301011002|archived |     67720|SCIENCE         |N03     |2020-08-29 03:14:37| 2018-09-05|         1|     1.736 (SWIFTJ0413.8+1112)|
|IRAS04124m0803         |04 15 00.8|-07 53 41|2021-09-14 00:31:09|60761001002|archived |     18345|SCIENCE         |N07     |2021-09-15 04:18:09| 2021-09-20|         0|     2.833 (SWIFTJ0414.8-0754)|
|3C_111                 |04 18 14.0|+37 59 52|2019-01-04 09:21:09|60202061006|archived |     51697|SCIENCE         |C18     |2020-07-29 05:47:15| 2020-01-08|         0|     2.236 (SWIFTJ0418.3+3800)|
|3C_111                 |04 18 14.6|+37 59 33|2017-12-29 02:36:09|60202061004|archived |     49361|SCIENCE         |C18     |2020-08-19 09:29:38| 2019-01-02|         0|     2.434 (SWIFTJ0418.3+3800)|
|3C_111                 |04 18 15.3|+37 59 13|2017-12-26 16:36:09|60202061002|archived |     21324|SCIENCE         |C18     |2020-08-19 10:42:11| 2019-01-02|         0|     2.661 (SWIFTJ0418.3+3800)|
|1H_0419m577            |04 25 52.3|-57 10 24|2015-06-03 18:51:07|60101039002|archived |    169462|SCIENCE         |N01     |2020-10-11 00:22:33| 2016-06-15|         0|     1.982 (SWIFTJ0426.2-5711)|
|1H_0419m577            |04 25 48.1|-57 10 56|2018-05-15 23:11:09|60402006002|archived |     64216|SCIENCE         |N04     |2020-08-13 06:56:30| 2019-11-22|         0|     2.029 (SWIFTJ0426.2-5711)|
|1H_0419m577            |04 26 15.0|-57 12 12|2018-11-13 20:21:09|60402006004|archived |     48273|SCIENCE         |N04     |2020-08-01 16:15:01| 2019-11-22|         0|     1.935 (SWIFTJ0426.2-5711)|
