Results from heasarc_chanmaster: Chandra Observations
Coordinate system:  Equatorial
|obsid|status     |name                                  |ra         |dec        |time               |detector|grating|exposure|type|pi              |public_date|_Search_Offset             |
|17464|archived   |1H 0419-577                           |04 26 00.70|-57 12 01.0|2016-05-08 16:34:17|ACIS-S  |NONE   |   22070|GTO |Kaastra         | 2017-05-09|  0.013 (SWIFTJ0426.2-5711)|
|18843|archived   |1H 0419-577                           |04 26 00.70|-57 12 01.0|2016-05-07 16:45:33|ACIS-S  |NONE   |    9070|GTO |Kaastra         | 2017-05-09|  0.013 (SWIFTJ0426.2-5711)|
|18165|archived   |2MASX J04293830-2109441               |04 29 38.30|-21 09 43.9|2016-01-18 17:56:49|ACIS-S  |NONE   |   10070|GO  |Koss            | 2017-01-19|  0.002 (SWIFTJ0429.6-2114)|
|  741|archived   |PSR J0437-4715                        |04 37 15.78|-47 15 07.9|2000-05-29 23:46:35|ACIS-S  |NONE   |   28170|GO  |Pavlov          | 2001-06-06|  4.204 (SWIFTJ0437.4-4713)|
| 6154|archived   |PSR J0437-4715                        |04 37 15.80|-47 15 08.4|2005-02-18 10:28:31|ACIS-S  |NONE   |   25190|CAL |Calibration     | 2005-02-20|  4.209 (SWIFTJ0437.4-4713)|
| 6156|archived   |PSR J0437-4715                        |04 37 15.80|-47 15 08.4|2005-04-28 06:02:33|ACIS-S  |NONE   |   25180|CAL |Calibration     | 2005-04-29|  4.209 (SWIFTJ0437.4-4713)|
| 6155|archived   |PSR J0437-4715                        |04 37 15.80|-47 15 08.4|2005-03-03 10:06:30|ACIS-S  |NONE   |   25130|CAL |Calibration     | 2005-03-04|  4.209 (SWIFTJ0437.4-4713)|
| 6768|archived   |PSR J0437-4715                        |04 37 15.80|-47 15 08.4|2006-05-09 01:42:31|ACIS-S  |NONE   |   24860|CAL |Calibration     | 2006-05-11|  4.209 (SWIFTJ0437.4-4713)|
| 6767|archived   |PSR J0437-4715                        |04 37 15.80|-47 15 08.4|2006-02-10 04:10:21|ACIS-S  |NONE   |   23190|CAL |Calibration     | 2006-02-13|  4.209 (SWIFTJ0437.4-4713)|
|  742|archived   |PSR J0437-4715                        |04 37 15.80|-47 15 08.2|2000-02-13 07:27:56|HRC-I   |NONE   |   22480|GO  |Pavlov          | 2000-11-27|  4.206 (SWIFTJ0437.4-4713)|
| 6158|archived   |PSR J0437-4715                        |04 37 15.80|-47 15 08.4|2005-11-28 03:54:01|ACIS-S  |NONE   |   20850|CAL |Calibration     | 2005-11-29|  4.209 (SWIFTJ0437.4-4713)|
