Results from heasarc_xmmmaster: XMM-Newton Master Log & Public Archive
Coordinate system:  Equatorial
|obsid     |status   |name                |ra         |dec        |time               |duration|pi_lname            |pi_fname      |public_date|data_in_heasarc|_Search_Offset             |
|0820360101|archived |1H 0419-577         |04 26 00.70|-57 12 01.0|2018-05-16 08:33:13|   52000|Reeves              |James         | 2019-12-03|Y              |  0.014 (SWIFTJ0426.2-5711)|
|0148000401|archived |1H 0419-577         |04 26 00.80|-57 12 00.0|2003-03-30 05:48:24|   13914|Pounds              |Ken           | 2004-12-31|Y              |  0.032 (SWIFTJ0426.2-5711)|
|0148000301|archived |1H 0419-577         |04 26 00.80|-57 12 00.0|2002-12-27 05:32:50|   17973|Pounds              |Ken           | 2004-12-31|Y              |  0.032 (SWIFTJ0426.2-5711)|
|0148000201|archived |1H 0419-577         |04 26 00.80|-57 12 00.0|2002-09-25 18:02:42|   15082|Pounds              |Ken           | 2004-12-31|Y              |  0.032 (SWIFTJ0426.2-5711)|
|0148000501|archived |1H 0419-577         |04 26 00.80|-57 12 00.0|2003-06-25 14:15:15|   13169|Pounds              |Ken           | 2004-12-31|Y              |  0.032 (SWIFTJ0426.2-5711)|
|0148000601|archived |1H 0419-577         |04 26 00.80|-57 12 00.0|2003-09-16 05:13:51|   13919|Pounds              |Ken           | 2004-12-31|Y              |  0.032 (SWIFTJ0426.2-5711)|
|0148000701|archived |1H 0419-577         |04 26 00.80|-57 12 00.0|2003-11-15 08:03:44|   12213|Pounds              |Ken           | 2004-12-31|Y              |  0.032 (SWIFTJ0426.2-5711)|
|0604720401|archived |1H 0419-577 offset  |04 26 00.70|-57 12 47.0|2010-05-28 19:41:28|   60916|Costantini          |Elisa         | 2011-06-23|Y              |  0.754 (SWIFTJ0426.2-5711)|
|0112600401|archived |1H 0419-577         |04 25 44.00|-57 13 35.0|2000-12-04 12:46:32|    9562|Turner              |Martin        | 2002-09-05|Y              |  2.745 (SWIFTJ0426.2-5711)|
|0801650301|archived |3FGL J0427.9-6704   |04 27 49.61|-67 04 35.0|2017-05-02 16:14:17|   77500|Strader             |Jay           | 2018-05-24|Y              |11.544 (SWIFTJ0428.2-6704B)|
