SwiftName,xtable
SWIFTJ1020.5m0237B,null
SWIFTJ1021.7m0327,null
SWIFTJ1023.5p1952,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX006000/r4934656/enhanced/SPITZER_S5_4934656_01_merge.tbl
SWIFTJ1029.8m3821,null
SWIFTJ1031.5m4205,null
SWIFTJ1031.5p5051,null
SWIFTJ1031.9m1418,null
SWIFTJ1031.7m3451,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008200/r22082560/enhanced/SPITZER_S5_22082560_01_merge.tbl
SWIFTJ1032.7m2835,null
SWIFTJ1033.6p7303,null
SWIFTJ1033.8p5257,null
SWIFTJ1038.8m4942,null
SWIFTJ1040.7m4619,null
SWIFTJ1041.4m1740,null
SWIFTJ1042.4p0046,null
SWIFTJ1043.4p1105,null
SWIFTJ1044.1p7024,null
SWIFTJ1044.8p3812,null
SWIFTJ1045.3m6024,null
SWIFTJ1046.8p2556,null
SWIFTJ1048.4m2511,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008200/r18510336/enhanced/SPITZER_S5_18510336_01_merge.tbl
SWIFTJ1049.4p2258,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008200/r18946048/enhanced/SPITZER_S5_18946048_01_merge.tbl
SWIFTJ1051.2m1704A,null
SWIFTJ1051.2m1704B,null
SWIFTJ1052.8p1043,null
SWIFTJ1059.8p6507,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX010300/r22120192/enhanced/SPITZER_S5_22120192_01_merge.tbl
SWIFTJ1100.9p1104,null
SWIFTJ1103.4p3731,null
SWIFTJ1103.5m2329,null
SWIFTJ1104.4p3812,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX003100/r4676352/enhanced/SPITZER_S5_4676352_01_merge.tbl
